epoch,step,train_acc_epoch,train_loss_epoch,val_acc,val_loss
0,50,,,0.64161217212677,0.6291390657424927
0,50,0.5331466197967529,0.6858295202255249,,
1,101,,,0.6851851940155029,0.5851821899414062
1,101,0.6784936189651489,0.5987659096717834,,
2,152,,,0.7015250325202942,0.5650302171707153
2,152,0.7164643406867981,0.5440191030502319,,
3,203,,,0.7102396488189697,0.5822521448135376
3,203,0.7385621070861816,0.5216889977455139,,
4,254,,,0.7298474907875061,0.543082594871521
4,254,0.7556800246238708,0.5005711913108826,,
5,305,,,0.7396514415740967,0.5375286936759949
5,305,0.756302535533905,0.4915935695171356,,
6,356,,,0.7113289833068848,0.5602881908416748
6,356,0.7752878665924072,0.4661591351032257,,
7,407,,,0.7244008779525757,0.5817061066627502
7,407,0.7905384302139282,0.45445528626441956,,
8,458,,,0.6633986830711365,0.6721659302711487
8,458,0.7899159789085388,0.4369354248046875,,
9,509,,,0.7331154942512512,0.5593478679656982
9,509,0.7955182194709778,0.43797537684440613,,
10,560,,,0.7352941036224365,0.6074932813644409
10,560,0.818549633026123,0.4021103084087372,,
11,611,,,0.7145969271659851,0.6175260543823242
11,611,0.827886700630188,0.38405099511146545,,
12,662,,,0.7450980544090271,0.6155699491500854
12,662,0.8350451588630676,0.3731794059276581,,
13,713,,,0.7156862616539001,0.7297350764274597
13,713,0.839402437210083,0.35132572054862976,,
14,764,,,0.7200435996055603,0.6683148741722107
14,764,0.8409585952758789,0.3564707040786743,,
15,815,,,0.7396514415740967,0.6879369616508484
15,815,0.8502956628799438,0.3367951214313507,,
16,866,,,0.7483659982681274,0.7084029912948608
16,866,0.8605664372444153,0.3228229880332947,,
17,917,,,0.727668821811676,0.7178636789321899
17,917,0.8649237751960754,0.3113953173160553,,
18,968,,,0.7254902124404907,0.6593863368034363
18,968,0.8630563616752625,0.30194878578186035,,
19,1019,,,0.7189542651176453,0.7216460704803467
19,1019,0.8845316171646118,0.28370144963264465,,
20,1070,,,0.7352941036224365,0.6638598442077637
